SN,STA_MAC,Di,A_DATA,B_DATA,C_DATA,ERR_CODE
1,000000000006,,,,,1
2,111111111111,,,,,1
3,000000000033,,,,,1
Fail node, 000000000006,  111111111111,  000000000033,  
