SN,STA_MAC,Di,A_DATA,B_DATA,C_DATA,ERR_CODE
1,111111111111,,,,,4
2,000000000006,02010100,206.4,000000000006,,,,,4
3,000000000006,,,,,4
Fail node, 000000000006,  000000000100,  111111111111,  
