SN,STA_MAC,Di,A_DATA,B_DATA,C_DATA,ERR_CODE
1,000000000033,,,,,1
2,000000000006,,,,,1
3,330691681111,02010100,85C.F
Fail node, 000000000006,  000000000033,  
